No,Brand,CPU,GPU,RAM Type,RAM Size (GB),Storage (GB),Screen Type,Refresh Rate (Hz),Uniqueness,Upgradeable,Price (Rupiah)
1,ACER,Intel Core i3-N300,,DDR5,8,256.0,LED,60,0,1,5054831
2,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,0,1,5099000
3,HP,AMD Ryzen 3 7320U,,DDR4,8,256.0,LED,60,0,1,5139000
4,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,0,0,5199000
5,ACER,Intel N150,,DDR4,8,256.0,LED,60,0,1,5229000
6,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,0,0,5239000
7,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,0,0,5249000
8,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,0,5349000
9,LENOVO,Intel Core i3-1315U,,DDR4,8,256.0,LED,60,0,0,5349000
10,LENOVO,Intel Core i3-1315U,,DDR4,8,256.0,LED,60,0,1,5349000
11,AXIOO,Intel Core i5-1235U,,DDR4,16,256.0,LED,60,0,1,5349000
12,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,0,5379000
13,HP,AMD Ryzen 5 7520U,,DDR4,8,256.0,LED,60,0,1,5384000
14,ADVAN,Intel Core i5-12450H,,DDR4,8,256.0,LED,60,0,1,5385000
15,HP,Intel Core i3-7020U,,DDR4,8,256.0,LED,60,0,1,5399000
16,ASUS,Intel Core i3-N305,,DDR4,8,256.0,LED,60,1,1,5399000
17,HP,Intel Core i5-1335U,,DDR4,8,256.0,LED,60,0,1,5399000
18,AXIOO,Intel Core i5-1235U,,DDR4,8,256.0,LED,60,0,1,5448900
19,AXIOO,Intel Core i5-1235U,,DDR4,16,512.0,LED,60,0,1,5489000
20,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,0,5569000
21,ACER,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5569000
22,ACER,Intel Core i3-1215U,,DDR5,8,256.0,LED,60,0,1,5574000
23,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,1,0,5579000
24,MSI,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5589000
25,HP,Intel Core i3-10300,,DDR4,8,256.0,LED,60,0,1,5599000
26,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,0,5599000
27,HP,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5599000
28,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,0,1,5599000
29,AXIOO,AMD Ryzen 5 7430U,,DDR4,8,256.0,LED,60,0,1,5649000
30,LENOVO,Intel Core i5-6500,,DDR4,8,256.0,LED,60,2,0,5680000
31,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,1,5689000
32,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,1,5689000
33,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,1,5689000
34,ACER,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5719000
35,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,0,5739000
36,HP,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5746000
37,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5749000
38,ASUS,Intel Celeron N4500,,DDR4,8,256.0,LED,60,0,1,5789000
39,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,0,5798900
40,HP,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5799000
41,ASUS,Intel Core i3-N305,,DDR4,8,256.0,LED,60,0,1,5805000
42,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,1,5839000
43,ASUS,AMD Ryzen 5 7520U,,DDR5,8,256.0,LED,60,0,1,5879000
44,ACER,Intel Core 3 N355,,DDR5,8,256.0,LED,60,0,1,5889000
45,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,1,5895000
46,ASUS,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5899000
47,ADVAN,Intel N100,,DDR5,8,256.0,LED,60,0,1,5899000
48,ASUS,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5899000
49,ASUS,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,5899000
50,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,0,1,5907000
51,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,1,5959000
52,TECNO,Intel Core i5-13420H,,DDR4,8,256.0,LED,60,1,1,5994000
53,ASUS,Intel Core i3-10110U,,DDR4,8,256.0,LED,60,0,1,5999000
54,HP,Intel Core i3-1315U,,DDR4,8,256.0,LED,60,0,1,5999000
55,,Intel Core i7-10610U,,DDR4,8,512.0,LED,60,0,1,6000000
56,HP,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,0,1,6029000
57,LENOVO,AMD Ryzen 3 7320U,,DDR4,8,256.0,LED,60,0,0,6049000
58,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,0,6059000
59,LENOVO,AMD Ryzen 3 7320U,,DDR5,8,256.0,LED,60,1,0,6069000
60,ASUS,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,6076200
61,LENOVO,AMD Ryzen 5 7530U,,DDR4,8,256.0,LED,60,0,0,6089000
62,ASUS,Intel Core i3-N305,,DDR4,8,256.0,LED,60,0,1,6149000
63,ASUS,Intel Core i3-1115G4,,DDR4,8,256.0,LED,60,0,1,6149000
64,ACER,Intel Core i3-1115G4,,DDR4,8,256.0,LED,60,0,1,6197100
65,ASUS,Intel Core i3-1005G1,,DDR4,8,256.0,LED,60,1,1,6199000
66,INFINIX,AMD Ryzen 5 7430U,,DDR4,8,256.0,LED,60,0,1,6199000
67,LENOVO,Intel Core i3-10110U,,DDR4,8,256.0,LED,60,0,0,6261000
68,ACER,AMD Ryzen 5 7520U,,DDR5,8,256.0,LED,60,0,1,6299000
69,ADVAN,Intel Core i5-1035G7,,DDR4,8,256.0,LED,60,0,1,6299000
70,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,0,6299000
71,ASUS,Intel Core i3-1115G4,,DDR4,8,256.0,LED,60,2,1,6375000
72,AXIOO,AMD Ryzen 7 5825U,,DDR4,8,512.0,LED,60,0,1,6399000
73,HP,Intel Core i3-10300,,DDR4,8,256.0,LED,60,0,1,6399000
74,INFINIX,Intel Core i3-1005G1,,DDR4,8,256.0,LED,60,0,1,6400000
75,ADVAN,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,6498000
76,LENOVO,Intel Core i3-1005G1,,DDR4,8,256.0,LED,60,1,1,6499000
77,ASUS,Intel Core i3-1115G4,,DDR4,8,256.0,LED,60,0,1,6499000
78,HP,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,0,1,6499000
79,ACER,Intel Core i3-7020U,,DDR4,8,256.0,LED,60,0,1,6500000
80,ASUS,Intel Core i3-1315U,,DDR4,8,256.0,LED,60,1,1,6519000
81,AXIOO,Intel Core i5-1235U,,DDR4,16,512.0,LED,60,0,1,6549000
82,LENOVO,Intel Core i3-1315U,,DDR5,8,512.0,LED,60,0,0,6558900
83,LENOVO,Intel Core i3-1315U,,DDR5,8,512.0,LED,60,0,0,6559000
84,INFINIX,Intel Core i5-1155G7,,DDR4,8,512.0,LED,60,0,1,6589000
85,HP,Intel Core i3-1115G4,,DDR4,8,256.0,LED,60,0,1,6599000
86,LENOVO,Intel Core i3-1215U,,DDR4,8,256.0,LED,60,1,0,6599000
87,LENOVO,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,0,6599000
88,LENOVO,Intel Core i5-1035G7,,DDR4,8,512.0,LED,60,0,1,6605745
89,HP,Intel Core i5-1135G7,,DDR4,8,512.0,LED,60,0,1,6699000
90,ADVAN,AMD Ryzen 5 6600H,,DDR5,8,512.0,LED,60,1,1,6729000
91,LENOVO,AMD Ryzen 5 7430U,,DDR4,8,512.0,LED,60,0,0,6749000
92,INFINIX,Intel Core i5-1334U,,DDR4,8,512.0,LED,60,0,1,6777000
93,HP,Intel Core i3-1215U,,DDR4,8,512.0,LED,60,0,1,6799000
94,ACER,Intel Core i3-1115G4,,DDR4,8,512.0,LED,60,0,1,6799000
95,ADVAN,Intel Core i3-1215U,,DDR5,8,512.0,LED,60,0,1,6799000
96,AXIOO,Intel Celeron N4020,,DDR4,8,512.0,LED,60,0,1,6859000
97,ASUS,Intel Core i3-1315U,,DDR4,8,256.0,LED,60,0,1,6879000
98,ACER,AMD Ryzen 7 5700U,,DDR4,8,512.0,LED,60,0,1,6889000
99,LENOVO,Intel Core i3-1005G1,,DDR4,8,256.0,LED,60,0,1,6899000
100,ASUS,Intel Core i3-10110U,,DDR4,8,256.0,LED,60,1,1,6899000
101,ACER,AMD Ryzen 7 5700U,,DDR4,8,512.0,LED,60,0,1,6927000
102,ADVAN,AMD Ryzen 5 6600H,,DDR4,8,512.0,LED,60,1,1,6945000
103,HP,AMD Ryzen 5 5625U,,DDR4,8,512.0,LED,60,0,1,6999000
104,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,1,6999000
105,TECNO,AMD Ryzen 5 7430U,,DDR4,8,512.0,LED,60,0,1,6999000
106,ASUS,Intel Core i5-7200U,,DDR4,8,512.0,LED,60,0,1,7000000
107,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,1,1,7000000
108,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7005000
109,DELL,Intel Core i3-1115G4,,DDR4,8,256.0,LED,60,0,1,7099000
110,HP,Intel Core i5-1235U,,DDR4,8,256.0,LED,60,0,1,7099000
111,HP,Intel Core i5-1235U,,DDR4,8,256.0,LED,60,0,1,7119000
112,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,OLED,60,0,1,7129000
113,ASUS,AMD Ryzen 3 7320U,,DDR5,8,256.0,OLED,60,0,1,7129000
114,LENOVO,AMD Ryzen 5 5625U,,DDR4,8,512.0,LED,60,0,0,7129000
115,AXIOO,Intel Core i3-1215U,,DDR5,16,256.0,OLED,60,0,1,7149000
116,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7170000
117,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,1,1,7189000
118,ASUS,AMD Ryzen 5 7520U,,DDR5,8,256.0,LED,60,0,1,7189000
119,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,1,7189000
120,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,1,1,7189000
121,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,1,1,7189000
122,ASUS,Intel Celeron N4020,,DDR4,8,256.0,LED,60,0,1,7199000
123,ASUS,Intel Core i5-6200U,,DDR4,8,256.0,LED,60,0,1,7250000
124,HP,AMD Ryzen 5 5500U,,DDR4,8,512.0,LED,60,0,1,7250000
125,HP,Intel Core i5-1235U,,DDR4,8,256.0,LED,60,0,1,7299000
126,HP,Intel Core i5-1240P,,DDR4,8,256.0,LED,60,1,1,7300000
127,ADVAN,Intel Core i5-12500H,,DDR5,8,512.0,LED,60,1,1,7319900
128,HP,AMD Ryzen 5 5625U,,DDR4,8,512.0,LED,60,0,1,7349000
129,AXIOO,Intel Core i3-1215U,,DDR4,12,256.0,OLED,60,0,1,7349000
130,ASUS,AMD Ryzen 5 7535HS,,DDR5,8,512.0,LED,60,0,1,7389000
131,ASUS,AMD Ryzen 5 7535HS,,DDR5,8,512.0,LED,60,0,1,7399000
132,ACER,Intel Core i5-1135G7,,DDR4,8,512.0,LED,60,0,1,7404700
133,ACER,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7449000
134,LENOVO,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,0,1,7450000
135,MSI,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7499000
136,ACER,Intel Core i5-1235U,,DDR4,8,256.0,LED,60,0,1,7500000
137,DELL,Intel Core i5-1145G7,,DDR4,8,512.0,LED,60,0,1,7574000
138,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7575000
139,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7599000
140,HP,Intel Core i3-1215U,,DDR4,8,512.0,LED,60,0,1,7600000
141,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,1,1,7649000
142,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7699000
143,ADVAN,AMD Ryzen 7 6800H,,DDR5,8,512.0,LED,60,0,1,7720000
144,ASUS,AMD Ryzen 5 7520U,,DDR5,8,256.0,LED,60,0,1,7729000
145,ACER,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,1,7743120
146,AXIOO,Intel Core i3-1215U,,DDR5,16,256.0,OLED,60,0,1,7749000
147,,Intel Core i5-7200U,,DDR4,8,256.0,LED,60,1,1,7750000
148,,Intel Core i5-8365U,,DDR4,8,512.0,LED,60,0,1,7775000
149,LENOVO,Intel Core i5-12450H,,DDR5,8,512.0,LED,60,0,0,7799000
150,LENOVO,AMD Ryzen 5 7530U,,DDR4,8,512.0,LED,60,0,0,7827000
151,LENOVO,AMD Ryzen 5 7530U,,DDR5,8,512.0,LED,60,0,0,7849000
152,AXIOO,Intel Core i5-1235U,,DDR5,16,512.0,OLED,60,0,1,7899000
153,LENOVO,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,7900800
154,ASUS,AMD Ryzen 5 7520U,,DDR5,8,512.0,LED,60,0,1,7950000
155,ASUS,Intel Core i3-1005G1,,DDR4,8,512.0,LED,60,0,1,7999000
156,HP,Intel Core i5-1335U,,DDR4,8,256.0,LED,60,1,1,7999000
157,ASUS,Intel Core i3-1005G1,,DDR4,8,512.0,LED,60,0,1,7999000
158,LENOVO,Intel Core i5-13420H,,DDR5,16,512.0,LED,60,0,1,8000000
159,ASUS,Intel Core i5-1235U,,DDR4,16,512.0,LED,60,1,1,8029000
160,ASUS,AMD Ryzen 5 7430U,,DDR4,8,512.0,LED,60,1,1,8029000
161,ASUS,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,1,1,8039000
162,ASUS,Intel Core i5-13420H,,DDR5,8,512.0,LED,60,0,1,8049000
163,ASUS,AMD Ryzen 5 5500U,,DDR4,8,512.0,LED,60,0,1,8099000
164,HP,AMD Ryzen 5 7530U,,DDR4,8,256.0,LED,60,0,1,8099000
165,LENOVO,Intel Core i5-1335U,,DDR5,16,512.0,LED,60,0,0,8099000
166,HP,Intel Core i5-1235U,,DDR4,8,512.0,LED,60,0,1,8129000
167,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,0,1,8149000
168,ASUS,Intel Core i5-1335U,,DDR4,8,512.0,LED,60,1,1,8149000
169,LENOVO,Intel Core i5-1240P,,DDR5,16,512.0,LED,60,0,0,8199000
170,ASUS,Intel Core i3-1215U,,DDR4,16,256.0,LED,60,1,1,8199000
171,ACER,Intel Core i5-1235U,,DDR5,8,512.0,LED,60,0,1,8199000
172,ACER,Intel Core i3-N305,,DDR5,8,512.0,LED,60,0,1,8249000
173,LENOVO,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,1,1,8250000
174,LENOVO,AMD Ryzen 7 7730U,,DDR4,16,512.0,LED,60,0,1,8289000
175,HP,AMD Ryzen 3 3250U,,DDR4,8,256.0,LED,60,0,1,8299000
